,ID,Name
604045,Funhe2EKm041375t1,ddb1 and cul4 associated factor 7 (100%Z)
604047,Funhe2EKm041376,
604048,Funhe2EKm041376t1,Sorting nexin-1 (70%U)
604050,Funhe2EKm041377,
604051,Funhe2EKm041377t1,"Solute carrier family 2, facilitated glucose transporter member (73%M)"
604053,Funhe2EKm041378,
604054,Funhe2EKm041378t1,Cell division cycle protein 20 (35%U)
604056,Funhe2EKm041379,
604057,Funhe2EKm041379t1,CD2 molecule (100%P)
604059,Funhe2EKm041380,
604060,Funhe2EKm041380t1,Tumor susceptibility gene 101 protein (95%U)
604062,Funhe2EKm041381,
604039,Funhe2EKm041373t1,cathepsin L.1 (96%Z)
604038,Funhe2EKm041373,
604014,Funhe2EKm041365,
604015,Funhe2EKm041365t1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (100%Z)
604017,Funhe2EKm041366,
604018,Funhe2EKm041366t1,Forkhead box O1 b (41%T)
604020,Funhe2EKm041367,
604021,Funhe2EKm041367t1,sphingomyelin synthase 2 (58%Z)
604023,Funhe2EKm041368,
604024,Funhe2EKm041368t1,large subunit GTPase 1 homolog (47%M)
604026,Funhe2EKm041369,
604027,Funhe2EKm041369t1,Apoptotic chromatin condensation inducer in the nucleus (7%U)
604029,Funhe2EKm041370,
604030,Funhe2EKm041370t1,WD repeat domain phosphoinositide-interacting protein 4 (76%U)
604032,Funhe2EKm041371,
604033,Funhe2EKm041371t1,Heat shock protein beta-11 (97%P)
604035,Funhe2EKm041372,
604036,Funhe2EKm041372t1,Forkhead box O1 b (39%Z)
604063,Funhe2EKm041381t1,"2-oxoglutarate dehydrogenase, mitochondrial (87%S)"
604117,Funhe2EKm041399t1,N-acetyl-D-glucosamine kinase (81%M)
604066,Funhe2EKm041382t1,"Malate dehydrogenase, mitochondrial (51%U)"
604095,Funhe2EKm041392,
604096,Funhe2EKm041392t1,Uncharacterized protein
604098,Funhe2EKm041393,
604099,Funhe2EKm041393t1,3-keto-steroid reductase (95%S)
604101,Funhe2EKm041394,
604102,Funhe2EKm041394t1,Guanine nucleotide-binding protein subunit beta-2 1 (98%U)
604093,Funhe2EKm041391t1,Transport protein Sec16A (18%U)
604104,Funhe2EKm041395,
604107,Funhe2EKm041396,
604108,Funhe2EKm041396t1,Beta-chimaerin (55%M)
604110,Funhe2EKm041397,
604111,Funhe2EKm041397t1,TATA box binding protein (70%P)
604113,Funhe2EKm041398,
604114,Funhe2EKm041398t1,Sorting nexin-32 (99%U)
604105,Funhe2EKm041395t1,Collagen alpha-6(IV) chain (26%U)
604092,Funhe2EKm041391,
604090,Funhe2EKm041390t1,Eukaryotic translation initiation factor 3 subunit M (66%U)
604068,Funhe2EKm041383,
604069,Funhe2EKm041383t1,probable tRNA threonylcarbamoyladenosine biosynthesis protein osgep (100%M)
604071,Funhe2EKm041384,
604072,Funhe2EKm041384t1,ring finger protein 113B (100%P)
604074,Funhe2EKm041385,
604075,Funhe2EKm041385t1,G1/S-specific cyclin-D3 (100%T)
604077,Funhe2EKm041386,
604078,Funhe2EKm041386t1,Podocin (92%Z)
604080,Funhe2EKm041387,
604081,Funhe2EKm041387t1,Lamin-B1 (45%U)
604083,Funhe2EKm041388,
604084,Funhe2EKm041388t1,prickle homolog 1 (Drosophila) (42%T)
604086,Funhe2EKm041389,
604087,Funhe2EKm041389t1,activating signal cointegrator 1 complex subunit 1 (85%P)
604089,Funhe2EKm041390,
604065,Funhe2EKm041382,
604224,Funhe2EKm041435,
604225,Funhe2EKm041435t1,pim-3 oncogene (97%T)
604360,Funhe2EKm041482t1,CDC42 binding protein kinase beta (DMPK) (7%Z)
604362,Funhe2EKm041483,
604363,Funhe2EKm041483t1,Alcohol dehydrogenase 8a (100%C)
604365,Funhe2EKm041484,
604366,Funhe2EKm041484t1,Nucleosome assembly protein 1 4 (81%U)
604368,Funhe2EKm041485,
604369,Funhe2EKm041485t1,GMP synthase (glutamine-hydrolyzing) (71%U)
604359,Funhe2EKm041482,
604372,Funhe2EKm041486t1,PRKCA-binding protein (87%U)
604374,Funhe2EKm041487,
604375,Funhe2EKm041487t1,BTB/POZ domain-containing protein 2 (70%U)
604377,Funhe2EKm041488,
604378,Funhe2EKm041488t1,Sideroflexin-3 (100%U)
604380,Funhe2EKm041489,
604381,Funhe2EKm041489t1,"Actin, cytoplasmic 1 (90%T)"
604371,Funhe2EKm041486,
604357,Funhe2EKm041481t1,Ubiquitin carboxyl-terminal hydrolase 5 (19%U)
604356,Funhe2EKm041481,
604333,Funhe2EKm041472t1,"Aldolase C, fructose-bisphosphate, b (99%C)"
604335,Funhe2EKm041473,
604336,Funhe2EKm041473t1,DJ-1 (99%Z)
604338,Funhe2EKm041474,
604339,Funhe2EKm041474t1,archain 1 (77%T)
604341,Funhe2EKm041475,
604342,Funhe2EKm041475t1,IMP (inosine 5'-monophosphate) dehydrogenase 1 (77%T)
604344,Funhe2EKm041476,
604345,Funhe2EKm041476t1,E3 ubiquitin-protein ligase SIAH1 (99%U)
604347,Funhe2EKm041477,
604348,Funhe2EKm041477t1,"retinoblastoma binding protein 4, like (87%Z)"
604350,Funhe2EKm041478,
604351,Funhe2EKm041478t1,nucleoporin 54kDa (63%T)
604353,Funhe2EKm041479,
604354,Funhe2EKm041479t1,Uncharacterized protein
604332,Funhe2EKm041472,
604383,Funhe2EKm041490,
604413,Funhe2EKm041502,
604414,Funhe2EKm041502t1,Phosphoribosyl pyrophosphate synthase-associated protein 2 (95%U)
604416,Funhe2EKm041503,
604417,Funhe2EKm041503t1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2 (86%P)"
604419,Funhe2EKm041504,
604420,Funhe2EKm041504t1,Testis-specific serine/threonine-protein kinase (35%)
604422,Funhe2EKm041505,
604423,Funhe2EKm041505t1,Zinc transporter 1 (81%U)
604425,Funhe2EKm041506,
604426,Funhe2EKm041506t1,Cytokine receptor common subunit gamma (100%P)
604428,Funhe2EKm041507,
604429,Funhe2EKm041507t1,"Creatine kinase S-type, mitochondrial (92%U)"
604431,Funhe2EKm041508,
604432,Funhe2EKm041508t1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 (95%U)
604434,Funhe2EKm041509,
604411,Funhe2EKm041501t1,Stomatin protein 2 (91%U)
604410,Funhe2EKm041501,
604386,Funhe2EKm041491,
604387,Funhe2EKm041491t1,Calcipressin-1 (81%U)
604389,Funhe2EKm041492,
604390,Funhe2EKm041492t1,Diaphanous (7%U)
604392,Funhe2EKm041493,
604393,Funhe2EKm041493t1,"39S ribosomal protein L38, mitochondrial (47%U)"
604395,Funhe2EKm041494,
604396,Funhe2EKm041494t1,RanBP-type and C3HC4-type zinc finger-containing protein (87%C)
604398,Funhe2EKm041497,
604399,Funhe2EKm041497t1,Piwi protein 4 (38%U)
604401,Funhe2EKm041498,
604402,Funhe2EKm041498t1,Non-POU domain-containing octamer-binding protein (33%U)
604404,Funhe2EKm041499,
604405,Funhe2EKm041499t1,"B(0,+)-type amino acid transporter (69%T)"
604407,Funhe2EKm041500,
604408,Funhe2EKm041500t1,MAP/microtubule affinity-regulating kinase 2 (41%Z)
604384,Funhe2EKm041490t1,"Actin, gamma 1 (96%T)"
604330,Funhe2EKm041470t1,Deoxyhypusine hydroxylase (96%U)
604329,Funhe2EKm041470,
604254,Funhe2EKm041445,
604255,Funhe2EKm041445t1,chromosome 19 open reading frame 29 (38%T)
604257,Funhe2EKm041446,
604258,Funhe2EKm041446t1,mitochondrial folate transporter/carrier (100%M)
604260,Funhe2EKm041447,
604261,Funhe2EKm041447t1,"A-kinase anchor protein 10, mitochondrial (29%U)"
604252,Funhe2EKm041444t1,Alcohol dehydrogenase 8a (100%C)
604263,Funhe2EKm041448,
604266,Funhe2EKm041449,
604267,Funhe2EKm041449t1,Oxysterol-binding protein 2 (41%U)
604269,Funhe2EKm041450,
604270,Funhe2EKm041450t1,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1 (95%U)
604272,Funhe2EKm041451,
604273,Funhe2EKm041451t1,acyl-CoA synthetase short-chain family member 2 (53%T)
604264,Funhe2EKm041448t1,Phosphatase 1B (74%U)
604251,Funhe2EKm041444,
604249,Funhe2EKm041443t1,Complement factor H (61%P)
604227,Funhe2EKm041436,
604228,Funhe2EKm041436t1,"solute carrier family 35 (UDP-galactose transporter), member A2 (85%T)"
604230,Funhe2EKm041437,
604231,Funhe2EKm041437t1,Uncharacterized protein
604233,Funhe2EKm041438,
604234,Funhe2EKm041438t1,UBX domain-containing protein 2B (79%U)
604236,Funhe2EKm041439,
604237,Funhe2EKm041439t1,"1-acylglycerol-3-phosphate O-acyltransferase 2 (Lysophosphatidic acid acyltransferase, beta) (99%C)"
604239,Funhe2EKm041440,
604240,Funhe2EKm041440t1,Cleavage stimulation factor subunit (58%T)
604242,Funhe2EKm041441,
604243,Funhe2EKm041441t1,"NOP2/Sun domain family, member 6 (34%Z)"
604245,Funhe2EKm041442,
604246,Funhe2EKm041442t1,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (75%U)"
604248,Funhe2EKm041443,
604275,Funhe2EKm041452,
604276,Funhe2EKm041452t1,Abhydrolase domain-containing protein 16A (65%U)
604278,Funhe2EKm041453,
604306,Funhe2EKm041462t1,Uncharacterized protein
604308,Funhe2EKm041463,
604309,Funhe2EKm041463t1,Uncharacterized protein
604311,Funhe2EKm041464,
604312,Funhe2EKm041464t1,LIM domain kinase 1 (49%T)
604314,Funhe2EKm041465,
604315,Funhe2EKm041465t1,"solute carrier family 39 (zinc transporter), member 14 (61%T)"
604317,Funhe2EKm041466,
604318,Funhe2EKm041466t1,Elongation factor 1-alpha (76%T)
604320,Funhe2EKm041467,
604321,Funhe2EKm041467t1,developmentally-regulated GTP-binding protein 2 (100%M)
604323,Funhe2EKm041468,
604324,Funhe2EKm041468t1,Cathepsin L2 (72%U)
604326,Funhe2EKm041469,
604327,Funhe2EKm041469t1,RAE1 RNA export 1 homolog (S. pombe) (100%Z)
604305,Funhe2EKm041462,
604302,Funhe2EKm041461,
604279,Funhe2EKm041453t1,methionyl aminopeptidase 1 (92%T)
604281,Funhe2EKm041454,
604282,Funhe2EKm041454t1,N-acetylgalactosamine kinase (78%U)
604284,Funhe2EKm041455,
604285,Funhe2EKm041455t1,"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa (20%P)"
604287,Funhe2EKm041456,
604288,Funhe2EKm041456t1,Ras-related GTP-binding protein A (95%U)
604290,Funhe2EKm041457,
604291,Funhe2EKm041457t1,Secretory carrier-associated membrane protein 3 (68%U)
604293,Funhe2EKm041458,
604294,Funhe2EKm041458t1,Catenin beta-1 (37%U)
604296,Funhe2EKm041459,
604297,Funhe2EKm041459t1,DEAD (Asp-Glu-Ala-Asp) box helicase 56 (71%P)
604299,Funhe2EKm041460,
604300,Funhe2EKm041460t1,Forkhead box protein F1 (29%U)
604303,Funhe2EKm041461t1,WD repeat-containing protein 47 (29%U)
604435,Funhe2EKm041509t1,karyopherin (importin) beta 1 (46%P)
604012,Funhe2EKm041364t1,40S ribosomal protein SA (79%U)
603723,Funhe2EKm041265,
603724,Funhe2EKm041265t1,Bifunctional polynucleotide phosphatase/kinase (72%U)
603726,Funhe2EKm041266,
603727,Funhe2EKm041266t1,prostaglandin E synthase 2 (75%M)
603729,Funhe2EKm041267,
603730,Funhe2EKm041267t1,CSNK2A1 protein (94%U)
603721,Funhe2EKm041264t1,"eukaryotic translation initiation factor 4A, (100%Z)"
603732,Funhe2EKm041268,
603735,Funhe2EKm041269,
603736,Funhe2EKm041269t1,Lunapark (71%U)
603738,Funhe2EKm041270,
603739,Funhe2EKm041270t1,"spectrin, beta, non-erythrocytic 1 (16%T)"
603741,Funhe2EKm041271,
603742,Funhe2EKm041271t1,Uncharacterized protein
603733,Funhe2EKm041268t1,"E3 ubiquitin-protein ligase UBR7, putative (28%U)"
603720,Funhe2EKm041264,
603718,Funhe2EKm041263t1,Uncharacterized protein
603696,Funhe2EKm041256,
603697,Funhe2EKm041256t1,acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase) (98%Z)
603699,Funhe2EKm041257,
603700,Funhe2EKm041257t1,Polypeptide N-acetylgalactosaminyltransferase 1 (74%U)
603702,Funhe2EKm041258,
603703,Funhe2EKm041258t1,"glutamic-oxaloacetic transaminase 2b, mitochondrial (aspartate aminotransferase 2) (94%Z)"
603705,Funhe2EKm041259,
603706,Funhe2EKm041259t1,Exportin-2 (17%U)
603708,Funhe2EKm041260,
603709,Funhe2EKm041260t1,Cystathionine beta-synthase (64%U)
603711,Funhe2EKm041261,
603712,Funhe2EKm041261t1,cAMP-dependent protein kinase catalytic subunit beta (99%S)
603714,Funhe2EKm041262,
603715,Funhe2EKm041262t1,Ankyrin-3 (35%U)
603717,Funhe2EKm041263,
603744,Funhe2EKm041272,
603694,Funhe2EKm041255t1,"GDP-mannose 4,6 dehydratase (94%M)"
603745,Funhe2EKm041272t1,Ileal sodium/bile acid cotransporter (85%U)
603747,Funhe2EKm041273,
603775,Funhe2EKm041282t1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (52%U)"
603777,Funhe2EKm041283,
603778,Funhe2EKm041283t1,Cathepsin E (100%T)
603780,Funhe2EKm041284,
603781,Funhe2EKm041284t1,FACT complex subunit SPT16 (37%U)
603783,Funhe2EKm041285,
603784,Funhe2EKm041285t1,Cell division cycle protein 20 (26%U)
603774,Funhe2EKm041282,
603787,Funhe2EKm041286t1,collagen alpha-2(I) chain (34%M)
603789,Funhe2EKm041288,
603790,Funhe2EKm041288t1,Calreticulin (83%U)
603792,Funhe2EKm041289,
603793,Funhe2EKm041289t1,"eukaryotic translation initiation factor 4A, (94%Z)"
603795,Funhe2EKm041290,
603796,Funhe2EKm041290t1,Uncharacterized protein
603786,Funhe2EKm041286,
603772,Funhe2EKm041281t1,Inactive tyrosine-protein kinase (90%P)
603771,Funhe2EKm041281,
603748,Funhe2EKm041273t1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 4 (83%U)
603750,Funhe2EKm041274,
603751,Funhe2EKm041274t1,integrin-linked kinase-associated serine/threonine phosphatase (77%P)
603753,Funhe2EKm041275,
603754,Funhe2EKm041275t1,Coronin-1C (80%U)
603756,Funhe2EKm041276,
603757,Funhe2EKm041276t1,SCAN domain-containing protein (77%T)
603759,Funhe2EKm041277,
603760,Funhe2EKm041277t1,"angio-associated, migratory cell protein (74%T)"
603762,Funhe2EKm041278,
603763,Funhe2EKm041278t1,General transcription factor IIE subunit (73%T)
603765,Funhe2EKm041279,
603766,Funhe2EKm041279t1,"solute carrier family 37 (glycerol-3-phosphate transporter), member 3 (83%P)"
603768,Funhe2EKm041280,
603769,Funhe2EKm041280t1,diacylglycerol O-acyltransferase 1 (100%T)
603693,Funhe2EKm041255,
603691,Funhe2EKm041254t1,mitochondrial carrier 1 (100%P)
603616,Funhe2EKm041229t1,IWS1 (16%U)
603618,Funhe2EKm041230,
603619,Funhe2EKm041230t1,"protein disulfide isomerase family A, member 6 (99%T)"
603621,Funhe2EKm041231,
603622,Funhe2EKm041231t1,BRCA1 associated protein (49%Z)
603624,Funhe2EKm041232,
603625,Funhe2EKm041232t1,methionyl aminopeptidase 2 (76%Z)
603615,Funhe2EKm041229,
603628,Funhe2EKm041233t1,Glutamate-rich WD repeat-containing protein 1 (91%U)
603630,Funhe2EKm041234,
603631,Funhe2EKm041234t1,regulator of nonsense transcripts 1 (34%M)
603633,Funhe2EKm041235,
603634,Funhe2EKm041235t1,"polymerase (DNA directed), delta 2, regulatory subunit (89%Z)"
603636,Funhe2EKm041236,
603637,Funhe2EKm041236t1,Kelch protein 33 (65%T)
603627,Funhe2EKm041233,
603613,Funhe2EKm041227t1,Phosphatase 1D (49%U)
603612,Funhe2EKm041227,
603589,Funhe2EKm041219t1,COP9 signalosome complex subunit 2 (96%U)
603591,Funhe2EKm041220,
603592,Funhe2EKm041220t1,Soluble calcium-activated nucleotidase 1 (83%U)
603594,Funhe2EKm041221,
603595,Funhe2EKm041221t1,serine/arginine repetitive matrix 1 (18%Z)
603597,Funhe2EKm041222,
603598,Funhe2EKm041222t1,Mothers against decapentaplegic (45%U)
603600,Funhe2EKm041223,
603601,Funhe2EKm041223t1,"Trans-2-enoyl-CoA reductase, mitochondrial (94%U)"
603603,Funhe2EKm041224,
603604,Funhe2EKm041224t1,Fizzy-related protein (70%U)
603606,Funhe2EKm041225,
603607,Funhe2EKm041225t1,ankyrin repeat domain 52 (27%P)
603609,Funhe2EKm041226,
603610,Funhe2EKm041226t1,cell division cycle 23 homolog (S. cerevisiae) (72%T)
603639,Funhe2EKm041237,
603669,Funhe2EKm041247,
603670,Funhe2EKm041247t1,bile salt export pump (20%M)
603672,Funhe2EKm041248,
603673,Funhe2EKm041248t1,Inositol polyphosphate multikinase (64%U)
603675,Funhe2EKm041249,
603676,Funhe2EKm041249t1,"coatomer protein complex, subunit alpha (36%Z)"
603678,Funhe2EKm041250,
603679,Funhe2EKm041250t1,Threonyl-tRNA synthetase (36%T)
603681,Funhe2EKm041251,
603682,Funhe2EKm041251t1,Uncharacterized protein
603684,Funhe2EKm041252,
603685,Funhe2EKm041252t1,SH3 domain-binding protein 5 (57%U)
603687,Funhe2EKm041253,
603688,Funhe2EKm041253t1,"Ornithine aminotransferase, mitochondrial (90%U)"
603690,Funhe2EKm041254,
603667,Funhe2EKm041246t1,PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae) (83%T)
603666,Funhe2EKm041246,
603642,Funhe2EKm041238,
603643,Funhe2EKm041238t1,Ankyrin-3 (5%U)
603645,Funhe2EKm041239,
603646,Funhe2EKm041239t1,"galactosidase, alpha (89%T)"
603648,Funhe2EKm041240,
603649,Funhe2EKm041240t1,Tropomyosin alpha-3 chain (84%C)
603651,Funhe2EKm041241,
603652,Funhe2EKm041241t1,Kinesin protein KIF21B (19%U)
603654,Funhe2EKm041242,
603655,Funhe2EKm041242t1,Elongation of very long chain fatty acids protein (100%S)
603657,Funhe2EKm041243,
603658,Funhe2EKm041243t1,Isocitrate dehydrogenase [NADP] cytoplasmic (97%U)
603660,Funhe2EKm041244,
603661,Funhe2EKm041244t1,"aldolase a, fructose-bisphosphate, a (100%Z)"
603663,Funhe2EKm041245,
603664,Funhe2EKm041245t1,Transmembrane protein 120A (76%U)
603640,Funhe2EKm041237t1,presenilin-2 (83%M)
603798,Funhe2EKm041291,
603799,Funhe2EKm041291t1,Tyrosine-protein kinase FRK (80%U)
603936,Funhe2EKm041339,
603937,Funhe2EKm041339t1,splicing factor U2AF 65 kDa subunit (75%M)
603939,Funhe2EKm041340,
603940,Funhe2EKm041340t1,Trehalase (61%U)
603942,Funhe2EKm041341,
603943,Funhe2EKm041341t1,Peptidyl-prolyl cis-trans isomerase G (11%U)
603934,Funhe2EKm041338t1,"Aspartate--tRNA ligase, cytoplasmic (58%U)"
603945,Funhe2EKm041342,
603948,Funhe2EKm041343,
603949,Funhe2EKm041343t1,Nuclear inhibitor of protein phosphatase 1 (84%U)
603951,Funhe2EKm041344,
603952,Funhe2EKm041344t1,"collagen, type I, alpha 2 (27%Z)"
603954,Funhe2EKm041345,
603955,Funhe2EKm041345t1,Minor histocompatibility antigen H13 (94%U)
603946,Funhe2EKm041342t1,Small glutamine-rich tetratricopeptide repeat-containing protein alpha (96%U)
603933,Funhe2EKm041338,
603931,Funhe2EKm041337t1,Histone acetyltransferase type B catalytic subunit (82%M)
603909,Funhe2EKm041329,
603910,Funhe2EKm041329t1,"sulfide:quinone oxidoreductase, mitochondrial (85%M)"
603912,Funhe2EKm041330,
603913,Funhe2EKm041330t1,Beta-chimaerin (52%Z)
603915,Funhe2EKm041331,
603916,Funhe2EKm041331t1,"Proteasome (prosome, macropain) 26S subunit, ATPase (87%P)"
603918,Funhe2EKm041332,
603919,Funhe2EKm041332t1,E3 ubiquitin-protein ligase RNF13 (72%U)
603921,Funhe2EKm041334,
603922,Funhe2EKm041334t1,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase (94%U)
603924,Funhe2EKm041335,
603925,Funhe2EKm041335t1,Histone acetyltransferase type B catalytic subunit (78%M)
603927,Funhe2EKm041336,
603928,Funhe2EKm041336t1,"aldo-keto reductase family 1, member B1 (aldose reductase) (97%Z)"
603930,Funhe2EKm041337,
603957,Funhe2EKm041346,
603907,Funhe2EKm041328t1,"SH3-binding domain kinase family, member (100%P)"
603958,Funhe2EKm041346t1,PAP-associated domain-containing protein 5 (51%U)
603960,Funhe2EKm041347,
603988,Funhe2EKm041356t1,TBC1 domain family member 15 (43%U)
603990,Funhe2EKm041357,
603991,Funhe2EKm041357t1,proteasomal ubiquitin receptor ADRM1 (33%M)
603993,Funhe2EKm041358,
603994,Funhe2EKm041358t1,Uncharacterized protein
603996,Funhe2EKm041359,
603997,Funhe2EKm041359t1,Synaptosomal-associated protein (100%)
603987,Funhe2EKm041356,
604000,Funhe2EKm041360t1,Dehydrogenase/reductase SDR family member 7B (91%U)
604002,Funhe2EKm041361,
604003,Funhe2EKm041361t1,guanine nucleotide binding protein 3 (nucleolar) (74%T)
604005,Funhe2EKm041362,
604006,Funhe2EKm041362t1,Nucleolar RNA helicase 2 (49%U)
604008,Funhe2EKm041363,
604009,Funhe2EKm041363t1,charged multivesicular body protein 2a (100%M)
603999,Funhe2EKm041360,
603985,Funhe2EKm041355t1,Ubiquitin carboxyl-terminal hydrolase 44 (60%U)
603984,Funhe2EKm041355,
603961,Funhe2EKm041347t1,C-terminal-binding protein (60%Z)
603963,Funhe2EKm041348,
603964,Funhe2EKm041348t1,Pyruvate kinase (81%U)
603966,Funhe2EKm041349,
603967,Funhe2EKm041349t1,myeloid/lymphoid or mixed-lineage leukemia 3 (4%T)
603969,Funhe2EKm041350,
603970,Funhe2EKm041350t1,insulin growth factor 2 mRNA binding protein 3 (50%P)
603972,Funhe2EKm041351,
603973,Funhe2EKm041351t1,Abhydrolase domain-containing protein FAM108C1 (99%U)
603975,Funhe2EKm041352,
603976,Funhe2EKm041352t1,cAMP-dependent protein kinase type I-beta regulatory subunit (100%U)
603978,Funhe2EKm041353,
603979,Funhe2EKm041353t1,TNF receptor-associated factor 5 (37%M)
603981,Funhe2EKm041354,
603982,Funhe2EKm041354t1,Cytoplasmic dynein 1 light intermediate chain 1 (67%U)
603906,Funhe2EKm041328,
603904,Funhe2EKm041327t1,Cytosolic non-specific dipeptidase (83%U)
603828,Funhe2EKm041301,
603829,Funhe2EKm041301t1,Splicing factor 3A subunit 2 (42%U)
603831,Funhe2EKm041302,
603832,Funhe2EKm041302t1,"Proteasome (prosome, macropain) 26S subunit, ATPase (98%T)"
603834,Funhe2EKm041303,
603835,Funhe2EKm041303t1,Coatomer subunit beta' (47%U)
603837,Funhe2EKm041304,
603838,Funhe2EKm041304t1,Lupus La protein (82%U)
603840,Funhe2EKm041305,
603841,Funhe2EKm041305t1,RanBP-type and C3HC4-type zinc finger-containing protein (87%M)
603843,Funhe2EKm041306,
603844,Funhe2EKm041306t1,"cell division cycle 42 (GTP binding protein, 25kDa) (100%T)"
603846,Funhe2EKm041307,
603847,Funhe2EKm041307t1,"Thioredoxin reductase 1, cytoplasmic (66%U)"
603849,Funhe2EKm041309,
603826,Funhe2EKm041300t1,endoplasmic reticulum protein 44 (96%Z)
603825,Funhe2EKm041300,
603801,Funhe2EKm041292,
603802,Funhe2EKm041292t1,tryptophan hydroxylase 1b (54%Z)
603804,Funhe2EKm041293,
603805,Funhe2EKm041293t1,Transcription factor E2F7 (25%U)
603807,Funhe2EKm041294,
603808,Funhe2EKm041294t1,Phosphatase 1 regulatory subunit 7 (63%U)
603810,Funhe2EKm041295,
