GeneID	Method	xFPKM	o12Ortho	o3ProtHomology	o3Species	o4GenomHomol	o5KaKs	g1GenoMap	gGenoCov	p12Complete	p3CDS	p4CodePot	tClass	t1aOneExon
Funhe2EKm000203t1	rnasm	20	orlog	100%	platyfish	100	0.050	split	100	complete	84	Code	CodingOld	0
Funhe2EKm000204t1	rnasm	40	orlog	86%	tilapia	100	0.052	okay	100	partial	87	Code	CodingOld	0
Funhe2EKm000205t1	gmodel	0.1	noor	61%	tilapia	75	0.354	okay	100	complete	61	Code	CodingOld	0
Funhe2EKm000206t1	rnasm	0.4	noor	0	na	30	NA	okay	100	complete	69	Code	CodingOld	0
Funhe2EKm000207t1	rnasm	0.6	orlog	99%	platyfish	100	0.038	okay	100	complete	20	Code	CodingOld	0
Funhe2EKm000208t1	rnasm	4	orlog	91%	platyfish	100	0.030	okay	100	partial	98	Code	CodingOld	0
Funhe2EKm000209t1	rnasm	0.4	orlog	99%	platyfish	100	0.173	okay	100	partial	91	Code	CodingOld	0
Funhe2EKm000210t1	v1mix	0.5	orlog	100%	platyfish	99	0.102	okay	100	complete	62	Code	CodingOld	0
Funhe2EKm000211t1	rnasm	8	orlog	85%	platyfish	100	0.068	okay	100	complete	11	Code	CodingOld	0
Funhe2EKm000212t1	rnasm	70	orlog	100%	platyfish	100	0.123	split	100	partial	71	Code	CodingOld	0
Funhe2EKm000213t1	rnasm	2000	orlog	87%	platyfish	76	0.106	split	89	partial	99	Code	CodingOld	0
Funhe2EKm000214t1	rnasm	50	orlog	100%	stickleback	99	0.009	okay	89	complete	58	Code	CodingOld	0
Funhe2EKm000215t1	rnasm	30	noor	0	na	0	NA	okay	100	complete	5	Noncode	NoncodeNew	1
Funhe2EKm000216t1	rnasm	0.7	orlog	100%	platyfish	100	0.116	okay	100	complete	66	Code	CodingOld	1
Funhe2EKm000217t1	rnasm	10	orlog	100%	platyfish	100	0.155	okay	95	complete	68	Code	CodingOld	0
Funhe2EKm000218t1	rnasm	7	orlog	94%	platyfish	100	0.054	split	85	partial	100	Code	CodingOld	0
Funhe2EKm000219t1	rnasm	3	orlog	93%	platyfish	66	0.084	part	68	complete	85	Code	CodingOld	0
Funhe2EKm000220t1	rnasm	8	noor	0	na	58	NA	part	78	complete	73	Noncode	NoncodeOld	0
Funhe2EKm000221t1	rnasm	10	orlog	90%	platyfish	97	0.020	split	93	complete	60	Code	CodingOld	0
Funhe2EKm000222t1	rnasm	10	orlog	90%	platyfish	98	0.129	okay	90	complete	78	Code	CodingOld	0
Funhe2EKm000223t1	rnasm	6	orlog	96%	tilapia	100	0.052	part	71	complete	67	Code	CodingOld	0
Funhe2EKm000224t1	gmodel	1	inpar	98%	platyfish	37	NA	okay	100	complete	63	Code	CodingOld	0
Funhe2EKm000226t1	rnasm	10	orlog	100%	platyfish	97	0.161	okay	93	complete	81	Code	CodingOld	0
Funhe2EKm000227t1	rnasm	1	orlog	85%	mayzebr	100	0.188	okay	100	complete	92	Code	CodingOld	0
Funhe2EKm000228t1	rnasm	7	orlog	100%	platyfish	97	0.069	okay	95	complete	73	Code	CodingOld	0
Funhe2EKm000229t1	rnasm	10	orlog	100%	platyfish	97	0.098	okay	99	complete	89	Code	CodingOld	0
Funhe2EKm000230t1	rnasm	20	orlog	100%	platyfish	100	0.083	okay	100	complete	62	Code	CodingOld	0
Funhe2EKm000231t1	rnasm	7	orlog	100%	platyfish	100	0.050	okay	100	complete	42	Code	CodingOld	0
Funhe2EKm000232t1	rnasm	100	orlog	99%	platyfish	100	0.127	okay	97	complete	39	Code	CodingOld	0
Funhe2EKm000233t1	rnasm	10	orlog	100%	platyfish	93	0.094	split	99	complete	86	Code	CodingOld	0
Funhe2EKm000234t1	rnasm	30	orlog	100%	platyfish	100	0.128	okay	99	complete	65	Code	CodingOld	0
Funhe2EKm000235t1	rnasm	20	orlog	100%	platyfish	100	0.251	okay	98	partial	76	Code	CodingOld	0
Funhe2EKm000236t1	gmodel	0	noor	12%	mayzebr	27	0.137	okay	100	complete	50	Code	Transposon	0
Funhe2EKm000237t1	gmodel	0	noor	50%	tilapia	37	0.126	okay	100	complete	39	Code	Transposon	0
Funhe2EKm000238t1	rnasm	20	orlog	100%	mayzebr	100	0.032	okay	99	complete	91	Code	CodingOld	0
Funhe2EKm000241t1	rnasm	7	orlog	99%	platyfish	92	0.094	okay	100	partial	70	Code	CodingOld	0
Funhe2EKm000242t1	rnasm	2	orlog	98%	platyfish	100	0.188	okay	91	complete	68	Code	CodingOld	0
Funhe2EKm000243t1	rnasm	10	orlog	100%	mayzebr	100	0.034	okay	100	complete	64	Code	CodingOld	0
Funhe2EKm000244t1	gmodel	3	noor	36%	tilapia	68	NA	okay	100	complete	93	Code	Transposon	0
Funhe2EKm000246t1	gmodel	0.2	noor	38%	tilapia	7	0.148	okay	100	complete	87	Code	CodingOld	0
Funhe2EKm000248t1	v1mix	1	noor	14%	platyfish	100	0.404	okay	100	partial	99	Code	CodingOld	1
Funhe2EKm000250t1	rnasm	9	orlog	99%	mayzebr	100	0.025	okay	97	complete	54	Code	CodingOld	0
Funhe2EKm000251t1	rnasm	6	orlog	88%	mayzebr	87	0.282	okay	84	complete	92	Code	CodingOld	0
Funhe2EKm000252t1	rnasm	0.6	noor	0	na	10	NA	okay	99	partial	84	Noncode	NoncodeNew	1
Funhe2EKm000253t1	rnasm	10	orlog	100%	platyfish	100	0.063	okay	100	complete	74	Code	CodingOld	0
Funhe2EKm000254t1	rnasm	10	orlog	100%	platyfish	100	0.143	okay	99	complete	95	Code	CodingOld	0
Funhe2EKm000255t1	rnasm	30	orlog	100%	mayzebr	100	0.332	okay	97	complete	66	Code	CodingOld	0
Funhe2EKm000257t1	gmodel	0	noor	8%	mayzebr	40	NA	okay	100	complete	78	Noncode	Transposon	0
Funhe2EKm000261t1	rnasm	40	orlog	100%	platyfish	91	0.029	split	84	complete	63	Code	CodingOld	0
Funhe2EKm000262t1	gmodel	0.1	orlog	100%	platyfish	50	0.060	okay	100	complete	34	Code	CodingOld	0
Funhe2EKm000263t1	rnasm	1	inpar	100%	zfish	66	NA	part	77	complete	66	Noncode	Transposon	0
Funhe2EKm000264t1	rnasm	10	orlog	100%	platyfish	95	0.046	okay	100	complete	54	Code	CodingOld	0
Funhe2EKm000265t1	gmodel	9	orlog	74%	platyfish	65	0.327	okay	100	complete	52	Code	Transposon	0
Funhe2EKm000266t1	rnasm	30	orlog	96%	platyfish	100	0.065	okay	100	complete	81	Code	CodingOld	0
Funhe2EKm000267t1	gmodel	0	noor	0	na	69	0.659	okay	100	complete	48	Code	CodingOld	1
Funhe2EKm000268t1	rnasm	20	orlog	100%	platyfish	86	0.081	okay	85	complete	67	Code	CodingOld	0
Funhe2EKm000269t1	rnasm	0.9	orlog	94%	platyfish	98	0.140	okay	86	complete	56	Code	CodingOld	0
Funhe2EKm000271t1	rnasm	2	orlog	100%	platyfish	100	0.170	okay	100	complete	76	Code	CodingOld	0
Funhe2EKm000272t1	rnasm	6	orlog	100%	platyfish	99	0.445	okay	95	complete	51	Code	CodingOld	0
